City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,naryan-mar,67.6713,53.087,269.32,94,99,7.58,RU,1675266464
322,mercedes,-34.6515,-59.4307,304.7,35,85,4.83,AR,1675266492
323,amuntai,-2.4177,115.2494,296.92,98,100,0.29,ID,1675266493
324,helena,46.5927,-112.0361,271.62,81,0,2.06,US,1675266493
325,pangai,-19.8,-174.35,300.09,79,100,3.56,TO,1675266494
326,beyneu,45.3167,55.2,274.31,85,97,4.0,KZ,1675266495
327,pringsewu,-5.3582,104.9744,297.3,95,100,0.2,ID,1675266495
328,aleksandrov gay,50.147,48.5704,269.33,73,60,3.03,RU,1675266496
329,hofn,64.2539,-15.2082,269.16,68,0,3.09,IS,1675266497
330,hernani,43.2662,-1.9762,283.93,67,75,4.63,ES,1675266498
331,conway,35.0887,-92.4421,271.06,94,40,3.09,US,1675266498
332,kadyy,57.787,43.1903,268.89,96,100,2.81,RU,1675266499
333,prince albert,53.2001,-105.7677,249.12,77,100,1.54,CA,1675266321
334,raudeberg,61.9875,5.1352,275.52,77,99,7.4,NO,1675266501
335,tulle,45.3333,1.8333,280.12,79,25,1.6,FR,1675266502
336,mareeba,-17.0,145.4333,298.39,91,100,1.42,AU,1675266503
337,wagrowiec,52.8084,17.1996,277.49,84,94,6.85,PL,1675266442
338,ulladulla,-35.35,150.4667,291.72,88,95,1.53,AU,1675266504
339,siloam springs,36.1881,-94.5405,269.49,79,0,3.09,US,1675266505
340,puerto colombia,10.9878,-74.9547,301.2,67,88,7.56,CO,1675266506
341,valkla,59.4744,25.3186,273.52,97,100,2.14,EE,1675266506
342,gravdal,68.1214,13.5031,270.09,100,20,1.03,NO,1675266507
343,roebourne,-20.7833,117.1333,303.98,61,66,5.59,AU,1675266507
344,yenagoa,4.9247,6.2642,304.7,53,39,5.51,NG,1675266508
345,road town,18.4167,-64.6167,301.17,65,40,3.6,VG,1675266508
346,geraldton,-28.7667,114.6,296.38,83,0,4.63,AU,1675266509
347,ozinki,51.1786,49.6769,264.3,86,82,3.27,RU,1675266509
348,longyearbyen,78.2186,15.6401,264.06,73,40,6.69,SJ,1675266509
349,morehead,37.2711,-87.1764,270.01,83,0,2.06,US,1675266470
350,kununurra,-15.7667,128.7333,300.14,94,75,0.0,AU,1675266510
351,nouadhibou,20.931,-17.0347,295.14,53,82,7.2,MR,1675266511
352,sinnamary,5.3833,-52.95,300.2,73,22,3.37,GF,1675266511
353,margate,51.3813,1.3862,283.09,68,100,3.13,GB,1675266512
354,amahai,-3.3333,128.9167,298.93,84,100,2.46,ID,1675266512
355,alenquer,-1.9417,-54.7383,300.67,77,74,1.25,BR,1675266513
356,coahuayana,18.7333,-103.6833,300.85,37,14,0.68,MX,1675266513
357,bradford,53.7939,-1.7521,281.62,88,75,7.72,GB,1675266513
358,chunskiy,56.0815,99.6342,254.68,100,99,0.64,RU,1675266514
359,tabou,4.423,-7.3528,302.49,65,53,4.04,CI,1675266514
360,savelugu,9.6244,-0.8253,311.68,6,81,2.81,GH,1675266515
361,gubkinskiy,64.434,76.5026,259.05,96,82,5.29,RU,1675266515
362,gimli,50.6336,-96.9907,249.16,77,64,1.54,CA,1675266516
363,colesberg,-30.72,25.0972,299.71,32,78,11.53,ZA,1675266517
364,new ross,52.3967,-6.9367,283.51,41,99,6.38,IE,1675266517
365,gazanjyk,39.2446,55.5154,280.43,92,100,5.29,TM,1675266518
366,billings,45.7833,-108.5007,270.02,54,20,9.77,US,1675266282
367,chiredzi,-21.05,31.6667,305.02,33,62,3.81,ZW,1675266518
368,harrison,30.4091,-89.0436,289.16,97,100,3.09,US,1675266406
369,yasothon,15.75,104.1333,297.06,40,99,0.76,TH,1675266519
370,broken hill,-31.95,141.4333,292.24,55,0,8.44,AU,1675266520
371,tongren,27.7172,109.1853,284.93,44,100,3.08,CN,1675266520
372,jyvaskyla,62.2415,25.7209,269.34,90,100,1.54,FI,1675266521
373,mildura,-34.2,142.15,289.3,53,0,7.54,AU,1675266521
374,lagoa,39.05,-27.9833,286.89,71,9,2.47,PT,1675266294
375,chernyshevskiy,63.0128,112.4714,234.74,100,60,1.27,RU,1675266522
376,puerto suarez,-18.95,-57.8,301.46,65,75,2.57,BO,1675266522
377,saint-joseph,-21.3667,55.6167,299.36,81,30,4.51,RE,1675266523
378,svetlogorsk,52.6333,29.7333,273.53,98,100,3.79,BY,1675266327
379,rawah,34.4816,41.9093,285.84,64,100,1.41,IQ,1675266523
380,neftcala,39.3742,49.2472,281.87,82,42,3.32,AZ,1675266524
381,adrar,20.5022,-10.0711,298.39,7,91,2.99,MR,1675266524
382,martapura,-3.4167,114.85,298.2,100,100,1.03,ID,1675266525
383,wewak,-3.5534,143.6268,299.08,80,100,3.48,PG,1675266526
384,portland,45.5234,-122.6762,274.61,82,75,1.79,US,1675266311
385,nome,64.5011,-165.4064,255.19,85,100,2.57,US,1675266527
386,bastia,42.6667,9.3333,286.04,81,75,2.06,FR,1675266527
387,tautira,-17.7333,-149.15,300.41,75,17,8.93,PF,1675266528
388,marsh harbour,26.5412,-77.0636,297.0,73,0,0.63,BS,1675266528
389,stornoway,58.2093,-6.3865,280.13,79,75,3.09,GB,1675266529
390,chupa,66.27,33.0549,262.55,94,49,3.26,RU,1675266529
